,0,,,,,,,,,,,URL Small,URL Medium,URL Large,Small Domain,Large Domain,ORG Domain,COM Domain,Has PHP Pages,Is Palindrome,Numbers in Domain,X Domain,Vowels in URL,Deal in URL,Download in URL,Free in URL,BJKT in URL,URL is Happy,Just Why,Rar or Zip in URL,Large number of Subdomains,Small number of Subdomains
0,https://locking-app-adverds.000webhostapp.com/payment-update-0.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,,,,,,,,,,,-1,-1,1,-1,1,-1,1,-1,0,1,-1,33,-1,-1,-1,-1,1,1,-1,-1,-1
1,https://mxtoolbox.com/public/upgradev2.aspx?ps=03eaebd0-170a-4142-a7e3-6bf26229494f&abt_id=ab-217b&abt_var=control&bh=bh-1&s0=bldc&s1=mdc-2&s2=mfm-2&utm_expid=.40ubxpatqrknvssdciofqg.1&utm_referrer=https%3a%2f%2fmxtoolbox.com%2fsupertool.aspx%3faction%3dblacklist%253aprodact.io%26run%3dtoolpage,,,,,,,,,,,-1,-1,1,-1,-1,-1,1,-1,0,-1,1,59,-1,-1,-1,-1,1,1,-1,-1,1
2,http://parolishop.com.br/questionreviews.htm,,,,,,,,,,,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,12,-1,-1,-1,-1,-1,1,-1,-1,-1
3,http://innovate.ieee.org/innovate/35675?lt=xpllg_xpl_bold728x90_q3.16_ft_subpage,,,,,,,,,,,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,17,-1,-1,-1,-1,-1,1,-1,-1,-1
4,http://ietbhaddal.edu.in/bb.mobile/mobile/index.php,,,,,,,,,,,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,15,-1,-1,-1,-1,-1,1,-1,-1,-1
5,http://www.vivianmaier.com/film-finding-vivian-maier/,,,,,,,,,,,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,16,-1,-1,-1,-1,1,1,-1,-1,-1
6,http://smokesonstate.com/gssss/gssss/27560bea886c96f3aac10ec0ff159568,,,,,,,,,,,-1,-1,1,-1,-1,-1,1,-1,0,-1,-1,11,-1,-1,-1,-1,1,1,-1,-1,1
7,http://effbot.org/zone/python-list.htm,,,,,,,,,,,-1,1,-1,-1,-1,1,-1,-1,0,-1,-1,7,-1,-1,-1,-1,-1,1,-1,-1,1
8,http://apply.ycombinator.com/,,,,,,,,,,,-1,1,-1,-1,1,-1,1,-1,0,-1,-1,6,-1,-1,-1,-1,-1,1,-1,-1,-1
9,http://www.hbo.com/movies/furious-7,,,,,,,,,,,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,9,-1,-1,-1,-1,-1,1,-1,-1,-1
