URL,embedded_domain_in_path,ip_address,dictionary_word,targeted_brand,ext url,Phishing,Subdomains,Prefix-Suffix,Anchor Tag,Tags,Forms,SSL Expiry Date,SSL Cert Check,Alexa Ranking,URL Length,URL Shortened,Redirects User,URL has @ Symbol,URL has HTTPS,URL Small,URL Medium,URL Large,Small Domain,Large Domain,ORG Domain,COM Domain,Has PHP Pages,Is Palindrome,Numbers in Domain,X Domain,Vowels in URL,Deal in URL,Download in URL,Free in URL,BJKT in URL,URL is Happy,Just Why,Rar or Zip in URL,Large number of Subdomains,Small number of Subdomains
https://locking-app-adverds.000webhostapp.com/payment-update-0.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,1,-1,1,-1,-1,yes,3,-1,300,N-N,0,253,0,3664,135,-1,1,1,1,-1,-1,1,-1,1,-1,1,-1,0,1,-1,33,-1,-1,-1,-1,1,1,-1,-1,-1
https://mxtoolbox.com/public/upgradev2.aspx?ps=03eaebd0-170a-4142-a7e3-6bf26229494f&abt_id=ab-217b&abt_var=control&bh=bh-1&s0=bldc&s1=mdc-2&s2=mfm-2&utm_expid=.40ubxpatqrknvssdciofqg.1&utm_referrer=https%3a%2f%2fmxtoolbox.com%2fsupertool.aspx%3faction%3dblacklist%253aprodact.io%26run%3dtoolpage,0,-1,-1,-1,-1,no,2,1,155,100,1,256,0,6619,295,1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,0,-1,1,59,-1,-1,-1,-1,1,1,-1,-1,1
http://parolishop.com.br/questionreviews.htm,0,-1,-1,-1,-1,yes,3,1,293,100,1,36,0,538000,44,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,12,-1,-1,-1,-1,-1,1,-1,-1,-1
http://innovate.ieee.org/innovate/35675?lt=xpllg_xpl_bold728x90_q3.16_ft_subpage,1,-1,-1,-1,-1,no,3,1,150,N-N,0,58,0,717,80,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,17,-1,-1,-1,-1,-1,1,-1,-1,-1
http://ietbhaddal.edu.in/bb.mobile/mobile/index.php,0,-1,-1,1,-1,yes,3,1,300,N-N,0,716,1,538000,51,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,15,-1,-1,-1,-1,-1,1,-1,-1,-1
http://www.vivianmaier.com/film-finding-vivian-maier/,1,-1,-1,-1,-1,no,3,1,150,N-N,0,2501,1,368637,53,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,16,-1,-1,-1,-1,1,1,-1,-1,-1
http://smokesonstate.com/gssss/gssss/27560bea886c96f3aac10ec0ff159568,-1,-1,-1,1,-1,yes,2,1,300,N-N,0,500,1,538000,69,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,-1,-1,11,-1,-1,-1,-1,1,1,-1,-1,1
http://effbot.org/zone/python-list.htm,0,-1,-1,-1,-1,no,2,1,276,100,1,470,1,45266,38,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,0,-1,-1,7,-1,-1,-1,-1,-1,1,-1,-1,1
http://apply.ycombinator.com/,1,-1,-1,-1,-1,no,3,1,200,100,1,322,0,3005,29,-1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,0,-1,-1,6,-1,-1,-1,-1,-1,1,-1,-1,-1
http://www.hbo.com/movies/furious-7,1,-1,-1,-1,-1,no,3,1,197,100,1,249,0,5739,35,-1,1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,9,-1,-1,-1,-1,-1,1,-1,-1,-1
